Course code,Study Period,Academic Year,Teacher Id,Hours,Course Instance
1048,1.0,2014-2015,19750722-0060,140.0,I-22
1048,1.0,2014-2015,19920217-0098,120.0,I-22
1256,4.0,2015-2016,19680712-0028,260.0,I-23
1256,4.0,2015-2016,19760524-0046,100.0,I-23
1251,2.0,2015-2016,19610623-0005,280.0,I-24
1251,2.0,2015-2016,19750122-0056,100.0,I-24
1251,2.0,2015-2016,19921127-0120,140.0,I-24
1269,2.0,2015-2016,19560812-0016,240.0,I-25
1269,2.0,2015-2016,19761020-0044,120.0,I-25
1269,2.0,2015-2016,19920122-0065,100.0,I-25
1200,1.0,2015-2016,19680712-0028,280.0,I-26
1200,1.0,2015-2016,19781130-0054,140.0,I-26
1290,4.0,2015-2016,19610620-0006,280.0,I-27
1290,4.0,2015-2016,19750906-0032,120.0,I-27
1197,3.0,2015-2016,19620522-0023,260.0,I-28
1197,3.0,2015-2016,19781130-0054,100.0,I-28
1197,3.0,2015-2016,19921002-0129,140.0,I-28
1147,3.0,2015-2016,19560812-0016,260.0,I-29
1147,3.0,2015-2016,19751018-0039,100.0,I-29
1147,3.0,2015-2016,19901029-0071,120.0,I-29
1123,3.0,2015-2016,19600814-0002,280.0,I-30
1123,3.0,2015-2016,19790426-0049,140.0,I-30
1052,3.0,2015-2016,19560705-0025,260.0,I-31
1052,3.0,2015-2016,19790702-0038,120.0,I-31
1052,3.0,2015-2016,19900701-0113,140.0,I-31
1186,3.0,2016-2017,19610918-0027,280.0,I-32
1186,3.0,2016-2017,19761024-0034,100.0,I-32
1102,4.0,2016-2017,19660630-0020,240.0,I-33
1102,4.0,2016-2017,19781217-0053,120.0,I-33
1227,1.0,2016-2017,19660630-0020,260.0,I-34
1227,1.0,2016-2017,19750331-0036,120.0,I-34
1089,2.0,2016-2017,19690408-0009,280.0,I-35
1089,2.0,2016-2017,19770713-0042,100.0,I-35
1084,4.0,2016-2017,19601021-0018,260.0,I-36
1084,4.0,2016-2017,19790618-0048,100.0,I-36
1021,1.0,2016-2017,19680712-0028,260.0,I-37
1021,1.0,2016-2017,19790618-0048,100.0,I-37
1252,4.0,2016-2017,19610623-0005,280.0,I-38
1252,4.0,2016-2017,19781125-0031,100.0,I-38
1172,3.0,2016-2017,19600529-0021,260.0,I-39
1172,3.0,2016-2017,19761024-0034,120.0,I-39
1172,3.0,2016-2017,19921123-0108,100.0,I-39
1158,3.0,2016-2017,19680712-0028,260.0,I-40
1158,3.0,2016-2017,19750417-0051,120.0,I-40
1091,4.0,2016-2017,19590129-0004,260.0,I-41
1091,4.0,2016-2017,19750122-0056,140.0,I-41
1091,4.0,2016-2017,19920826-0088,100.0,I-41
1045,1.0,2016-2017,19600529-0021,260.0,I-42
1045,1.0,2016-2017,19781217-0053,120.0,I-42
1272,3.0,2017-2018,19611219-0014,260.0,I-43
1272,3.0,2017-2018,19750705-0033,140.0,I-43
1272,3.0,2017-2018,19930512-0117,120.0,I-43
1248,3.0,2017-2018,19611219-0014,280.0,I-44
1248,3.0,2017-2018,19780815-0047,140.0,I-44
1232,3.0,2017-2018,19640414-0013,240.0,I-45
1232,3.0,2017-2018,19750331-0036,100.0,I-45
1232,3.0,2017-2018,19910403-0131,100.0,I-45
1006,1.0,2017-2018,19650303-0019,260.0,I-46
1006,1.0,2017-2018,19750331-0036,120.0,I-46
1241,3.0,2017-2018,19690513-0015,280.0,I-47
1241,3.0,2017-2018,19780815-0047,140.0,I-47
1215,2.0,2017-2018,19600814-0002,280.0,I-48
1215,2.0,2017-2018,19751018-0039,120.0,I-48
1090,2.0,2017-2018,19560612-0010,280.0,I-49
1090,2.0,2017-2018,19770224-0058,100.0,I-49
1090,2.0,2017-2018,19930616-0127,140.0,I-49
1085,1.0,2017-2018,19560612-0010,260.0,I-50
1085,1.0,2017-2018,19750102-0059,140.0,I-50
1082,3.0,2017-2018,19560705-0025,260.0,I-51
1082,3.0,2017-2018,19761009-0055,120.0,I-51
1033,1.0,2017-2018,19610918-0027,260.0,I-52
1033,1.0,2017-2018,19790426-0049,100.0,I-52
1033,1.0,2017-2018,19910101-0133,140.0,I-52
1144,3.0,2018-2019,19680712-0028,260.0,I-53
1144,3.0,2018-2019,19790702-0038,140.0,I-53
1144,3.0,2018-2019,19911116-0069,120.0,I-53
1250,1.0,2018-2019,19690513-0015,240.0,I-54
1250,1.0,2018-2019,19760524-0046,140.0,I-54
1250,1.0,2018-2019,19931118-0062,140.0,I-54
1243,2.0,2018-2019,19680712-0028,260.0,I-55
1243,2.0,2018-2019,19750705-0033,120.0,I-55
1147,2.0,2018-2019,19570826-0012,240.0,I-56
1147,2.0,2018-2019,19760524-0046,100.0,I-56
1147,2.0,2018-2019,19920505-0115,100.0,I-56
1133,1.0,2018-2019,19640220-0029,240.0,I-57
1133,1.0,2018-2019,19780602-0035,140.0,I-57
1239,3.0,2018-2019,19561222-0030,260.0,I-58
1239,3.0,2018-2019,19790426-0049,140.0,I-58
1220,1.0,2018-2019,19630126-0001,240.0,I-59
1220,1.0,2018-2019,19780815-0047,100.0,I-59
1220,1.0,2018-2019,19920505-0115,140.0,I-59
1178,3.0,2018-2019,19600529-0021,240.0,I-60
1178,3.0,2018-2019,19761020-0044,140.0,I-60
1168,2.0,2018-2019,19610918-0027,260.0,I-61
1168,2.0,2018-2019,19750331-0036,140.0,I-61
1078,2.0,2018-2019,19650303-0019,240.0,I-62
1078,2.0,2018-2019,19790618-0048,140.0,I-62
1078,2.0,2018-2019,19930709-0100,100.0,I-62
1027,3.0,2018-2019,19640414-0013,240.0,I-63
1027,3.0,2018-2019,19770713-0042,120.0,I-63
1157,3.0,2019-2020,19690408-0009,280.0,I-64
1157,3.0,2019-2020,19761009-0055,120.0,I-64
1244,2.0,2019-2020,19560812-0016,240.0,I-65
1244,2.0,2019-2020,19781130-0054,120.0,I-65
1183,3.0,2019-2020,19620424-0026,280.0,I-66
1183,3.0,2019-2020,19790702-0038,120.0,I-66
1108,2.0,2019-2020,19620831-0024,280.0,I-67
1108,2.0,2019-2020,19761009-0055,140.0,I-67
1267,2.0,2019-2020,19610918-0027,240.0,I-68
1267,2.0,2019-2020,19760108-0050,100.0,I-68
1250,4.0,2019-2020,19610918-0027,240.0,I-69
1250,4.0,2019-2020,19790717-0045,100.0,I-69
1250,4.0,2019-2020,19930829-0082,100.0,I-69
1246,3.0,2019-2020,19600529-0021,260.0,I-70
1246,3.0,2019-2020,19781125-0031,100.0,I-70
1246,3.0,2019-2020,19900520-0063,140.0,I-70
1135,1.0,2019-2020,19601021-0018,280.0,I-71
1135,1.0,2019-2020,19761024-0034,120.0,I-71
1135,1.0,2019-2020,19900909-0123,100.0,I-71
1099,2.0,2019-2020,19610918-0027,240.0,I-72
1099,2.0,2019-2020,19760108-0050,120.0,I-72
1099,2.0,2019-2020,19920602-0073,120.0,I-72
1284,2.0,2020-2021,19690513-0015,280.0,I-73
1284,2.0,2020-2021,19790426-0049,140.0,I-73
1284,2.0,2020-2021,19920320-0121,140.0,I-73
1239,1.0,2020-2021,19561222-0030,260.0,I-74
1239,1.0,2020-2021,19750331-0036,140.0,I-74
1239,1.0,2020-2021,19930829-0082,140.0,I-74
1155,1.0,2020-2021,19620424-0026,280.0,I-75
1155,1.0,2020-2021,19760524-0046,120.0,I-75
1155,1.0,2020-2021,19920828-0070,100.0,I-75
1130,4.0,2020-2021,19580218-0007,280.0,I-76
1130,4.0,2020-2021,19761009-0055,100.0,I-76
1130,4.0,2020-2021,19911025-0091,140.0,I-76
1278,4.0,2020-2021,19660630-0020,240.0,I-77
1278,4.0,2020-2021,19781130-0054,100.0,I-77
1204,1.0,2020-2021,19560812-0016,280.0,I-78
1204,1.0,2020-2021,19750512-0043,140.0,I-78
1092,2.0,2020-2021,19640220-0029,240.0,I-79
1092,2.0,2020-2021,19770713-0042,120.0,I-79
1060,4.0,2020-2021,19580218-0007,280.0,I-80
1060,4.0,2020-2021,19750722-0060,120.0,I-80
1203,2.0,2021-2022,19561222-0030,280.0,I-81
1203,2.0,2021-2022,19770713-0042,120.0,I-81
1086,3.0,2021-2022,19560705-0025,260.0,I-82
1086,3.0,2021-2022,19771013-0040,140.0,I-82
1086,3.0,2021-2022,19920320-0121,100.0,I-82
1180,2.0,2021-2022,19610620-0006,260.0,I-83
1180,2.0,2021-2022,19780602-0035,140.0,I-83
1180,2.0,2021-2022,19911025-0091,120.0,I-83
1167,2.0,2021-2022,19660630-0020,260.0,I-84
1167,2.0,2021-2022,19750122-0056,100.0,I-84
1136,2.0,2021-2022,19560705-0025,260.0,I-85
1136,2.0,2021-2022,19790702-0038,140.0,I-85
1136,2.0,2021-2022,19910927-0128,120.0,I-85
1048,1.0,2021-2022,19570615-0011,240.0,I-86
1048,1.0,2021-2022,19780815-0047,140.0,I-86
1194,2.0,2021-2022,19610918-0027,280.0,I-87
1194,2.0,2021-2022,19780424-0057,120.0,I-87
1079,1.0,2021-2022,19600905-0003,280.0,I-88
1079,1.0,2021-2022,19751018-0039,120.0,I-88
1079,1.0,2021-2022,19931231-0099,140.0,I-88
1054,4.0,2021-2022,19620522-0023,260.0,I-89
1054,4.0,2021-2022,19761024-0034,120.0,I-89
1054,4.0,2021-2022,19930829-0082,120.0,I-89
1043,2.0,2021-2022,19620831-0024,280.0,I-90
1043,2.0,2021-2022,19780815-0047,140.0,I-90
1043,2.0,2021-2022,19910206-0081,120.0,I-90
1006,4.0,2021-2022,19680712-0028,240.0,I-91
1006,4.0,2021-2022,19780424-0057,100.0,I-91
1006,4.0,2021-2022,19900520-0063,120.0,I-91
1263,1.0,2022-2023,19640220-0029,260.0,I-92
1263,1.0,2022-2023,19781217-0053,120.0,I-92
1282,3.0,2022-2023,19580515-0017,260.0,I-93
1282,3.0,2022-2023,19761020-0044,100.0,I-93
1170,3.0,2022-2023,19630126-0001,280.0,I-94
1170,3.0,2022-2023,19790708-0041,120.0,I-94
1170,3.0,2022-2023,19900317-0083,140.0,I-94
1098,4.0,2022-2023,19690513-0015,240.0,I-95
1098,4.0,2022-2023,19751018-0039,140.0,I-95
1098,4.0,2022-2023,19901002-0085,100.0,I-95
1005,4.0,2022-2023,19560812-0016,260.0,I-96
1005,4.0,2022-2023,19780317-0052,140.0,I-96
1005,4.0,2022-2023,19900317-0083,140.0,I-96
1255,3.0,2022-2023,19640414-0013,280.0,I-97
1255,3.0,2022-2023,19750906-0032,120.0,I-97
1255,3.0,2022-2023,19930508-0061,100.0,I-97
1222,3.0,2022-2023,19650303-0019,240.0,I-98
1222,3.0,2022-2023,19750417-0051,100.0,I-98
1178,3.0,2022-2023,19580218-0007,280.0,I-99
1178,3.0,2022-2023,19750906-0032,140.0,I-99
1088,1.0,2022-2023,19680712-0028,240.0,I-100
1088,1.0,2022-2023,19750331-0036,100.0,I-100
1070,3.0,2022-2023,19580218-0007,280.0,I-101
1070,3.0,2022-2023,19780602-0035,120.0,I-101
1070,3.0,2022-2023,19930326-0132,120.0,I-101
1067,2.0,2022-2023,19570615-0011,240.0,I-102
1067,2.0,2022-2023,19770713-0042,100.0,I-102
1014,3.0,2023-2024,19650303-0019,260.0,I-103
1014,3.0,2023-2024,19760108-0050,120.0,I-103
1014,3.0,2023-2024,19930919-0137,100.0,I-103
1299,4.0,2023-2024,19650303-0019,280.0,I-104
1299,4.0,2023-2024,19751018-0039,140.0,I-104
1299,4.0,2023-2024,19921218-0101,120.0,I-104
1296,2.0,2023-2024,19650303-0019,260.0,I-105
1296,2.0,2023-2024,19761009-0055,120.0,I-105
1132,3.0,2023-2024,19610918-0027,280.0,I-106
1132,3.0,2023-2024,19790426-0049,100.0,I-106
1132,3.0,2023-2024,19920122-0065,100.0,I-106
1046,2.0,2023-2024,19600529-0021,260.0,I-107
1046,2.0,2023-2024,19750331-0036,120.0,I-107
1289,2.0,2023-2024,19590129-0004,240.0,I-108
1289,2.0,2023-2024,19761009-0055,100.0,I-108
1223,1.0,2023-2024,19570826-0012,260.0,I-109
1223,1.0,2023-2024,19790717-0045,140.0,I-109
1137,2.0,2023-2024,19570828-0008,260.0,I-110
1137,2.0,2023-2024,19750417-0051,140.0,I-110
1137,2.0,2023-2024,19920122-0065,100.0,I-110
1082,4.0,2023-2024,19600529-0021,280.0,I-111
1082,4.0,2023-2024,19750512-0043,140.0,I-111
1082,4.0,2023-2024,19900616-0124,120.0,I-111
1265,1.0,2013-2014,19561222-0030,260.0,I-112
1265,1.0,2013-2014,19750417-0051,140.0,I-112
1265,1.0,2013-2014,19910404-0102,140.0,I-112
1213,3.0,2013-2014,19690917-0022,260.0,I-113
1213,3.0,2013-2014,19760524-0046,100.0,I-113
1085,3.0,2013-2014,19620522-0023,260.0,I-114
1085,3.0,2013-2014,19760524-0046,140.0,I-114
1075,1.0,2013-2014,19640414-0013,260.0,I-115
1075,1.0,2013-2014,19770224-0058,120.0,I-115
1075,1.0,2013-2014,19900511-0134,120.0,I-115
1272,2.0,2013-2014,19560812-0016,260.0,I-116
1272,2.0,2013-2014,19781217-0053,120.0,I-116
1139,3.0,2013-2014,19601021-0018,280.0,I-117
1139,3.0,2013-2014,19781217-0053,100.0,I-117
1139,3.0,2013-2014,19921127-0120,100.0,I-117
1101,1.0,2013-2014,19611219-0014,280.0,I-118
1101,1.0,2013-2014,19790426-0049,100.0,I-118
1101,1.0,2013-2014,19921123-0108,120.0,I-118
1098,4.0,2013-2014,19610623-0005,260.0,I-119
1098,4.0,2013-2014,19780317-0052,100.0,I-119
1098,4.0,2013-2014,19930919-0137,140.0,I-119
1083,1.0,2013-2014,19690513-0015,240.0,I-120
1083,1.0,2013-2014,19781217-0053,100.0,I-120
1185,3.0,2014-2015,19640220-0029,280.0,I-121
1185,3.0,2014-2015,19780317-0052,120.0,I-121
1185,3.0,2014-2015,19920826-0088,120.0,I-121
1271,2.0,2014-2015,19690917-0022,260.0,I-122
1271,2.0,2014-2015,19790702-0038,140.0,I-122
1271,2.0,2014-2015,19920316-0107,120.0,I-122
1258,3.0,2014-2015,19660630-0020,260.0,I-123
1258,3.0,2014-2015,19790702-0038,140.0,I-123
1073,2.0,2014-2015,19580218-0007,280.0,I-124
1073,2.0,2014-2015,19760524-0046,140.0,I-124
1073,2.0,2014-2015,19930228-0086,100.0,I-124
1065,3.0,2014-2015,19561222-0030,240.0,I-125
1065,3.0,2014-2015,19750906-0032,100.0,I-125
1065,3.0,2014-2015,19921208-0097,140.0,I-125
1218,4.0,2014-2015,19570828-0008,260.0,I-126
1218,4.0,2014-2015,19781130-0054,140.0,I-126
1218,4.0,2014-2015,19900128-0095,120.0,I-126
1208,4.0,2014-2015,19590129-0004,240.0,I-127
1208,4.0,2014-2015,19761020-0044,100.0,I-127
1100,3.0,2014-2015,19570826-0012,280.0,I-128
1100,3.0,2014-2015,19780424-0057,140.0,I-128
1100,3.0,2014-2015,19901219-0125,120.0,I-128
1090,1.0,2014-2015,19560812-0016,280.0,I-129
1090,1.0,2014-2015,19770713-0042,100.0,I-129
1090,1.0,2014-2015,19931118-0062,120.0,I-129
1221,2.0,2015-2016,19610623-0005,260.0,I-130
1221,2.0,2015-2016,19790618-0048,120.0,I-130
1073,4.0,2015-2016,19640414-0013,280.0,I-131
1073,4.0,2015-2016,19790708-0041,100.0,I-131
1073,4.0,2015-2016,19921208-0097,140.0,I-131
1230,4.0,2015-2016,19560812-0016,260.0,I-132
1230,4.0,2015-2016,19770713-0042,120.0,I-132
1230,4.0,2015-2016,19910514-0068,100.0,I-132
1208,4.0,2015-2016,19570826-0012,240.0,I-133
1208,4.0,2015-2016,19760108-0050,140.0,I-133
1208,4.0,2015-2016,19930228-0086,140.0,I-133
1201,3.0,2015-2016,19650303-0019,260.0,I-134
1201,3.0,2015-2016,19771013-0040,100.0,I-134
1201,3.0,2015-2016,19910822-0122,120.0,I-134
1199,4.0,2015-2016,19690513-0015,240.0,I-135
1199,4.0,2015-2016,19780317-0052,120.0,I-135
1199,4.0,2015-2016,19900723-0126,100.0,I-135
1144,3.0,2015-2016,19650303-0019,260.0,I-136
1144,3.0,2015-2016,19750417-0051,100.0,I-136
1086,4.0,2015-2016,19690917-0022,260.0,I-137
1086,4.0,2015-2016,19781130-0054,140.0,I-137
1040,2.0,2015-2016,19610623-0005,280.0,I-138
1040,2.0,2015-2016,19760108-0050,100.0,I-138
1011,1.0,2015-2016,19560812-0016,280.0,I-139
1011,1.0,2015-2016,19780602-0035,100.0,I-139
1258,3.0,2016-2017,19560812-0016,240.0,I-140
1258,3.0,2016-2017,19780317-0052,100.0,I-140
1284,2.0,2016-2017,19640414-0013,240.0,I-141
1284,2.0,2016-2017,19750331-0036,100.0,I-141
1284,2.0,2016-2017,19931226-0118,100.0,I-141
1094,1.0,2016-2017,19590129-0004,240.0,I-142
1094,1.0,2016-2017,19760108-0050,100.0,I-142
1008,3.0,2016-2017,19650303-0019,240.0,I-143
1008,3.0,2016-2017,19750906-0032,100.0,I-143
1250,1.0,2016-2017,19660630-0020,280.0,I-144
1250,1.0,2016-2017,19750705-0033,100.0,I-144
1197,1.0,2016-2017,19600529-0021,240.0,I-145
1197,1.0,2016-2017,19750906-0032,100.0,I-145
1176,4.0,2016-2017,19580218-0007,260.0,I-146
1176,4.0,2016-2017,19780424-0057,100.0,I-146
1011,2.0,2016-2017,19560812-0016,240.0,I-147
1011,2.0,2016-2017,19750331-0036,100.0,I-147
1011,2.0,2016-2017,19920226-0075,140.0,I-147
1240,3.0,2017-2018,19640414-0013,280.0,I-148
1240,3.0,2017-2018,19790426-0049,140.0,I-148
1240,3.0,2017-2018,19910514-0068,140.0,I-148
1194,2.0,2017-2018,19610623-0005,280.0,I-149
1194,2.0,2017-2018,19750512-0043,140.0,I-149
1208,4.0,2017-2018,19561222-0030,260.0,I-150
1208,4.0,2017-2018,19750122-0056,100.0,I-150
1158,1.0,2017-2018,19680712-0028,260.0,I-151
1158,1.0,2017-2018,19751018-0039,100.0,I-151
1133,2.0,2017-2018,19611219-0014,280.0,I-152
1133,2.0,2017-2018,19780317-0052,120.0,I-152
1133,2.0,2017-2018,19920504-0093,120.0,I-152
1060,2.0,2017-2018,19580515-0017,260.0,I-153
1060,2.0,2017-2018,19750705-0033,140.0,I-153
1257,2.0,2017-2018,19610620-0006,260.0,I-154
1257,2.0,2017-2018,19761009-0055,100.0,I-154
1257,2.0,2017-2018,19910101-0133,140.0,I-154
1201,2.0,2017-2018,19570826-0012,280.0,I-155
1201,2.0,2017-2018,19790702-0038,140.0,I-155
1201,2.0,2017-2018,19910927-0128,140.0,I-155
1169,4.0,2017-2018,19600814-0002,260.0,I-156
1169,4.0,2017-2018,19761024-0034,100.0,I-156
1169,4.0,2017-2018,19910421-0067,140.0,I-156
1081,1.0,2017-2018,19560612-0010,280.0,I-157
1081,1.0,2017-2018,19750417-0051,120.0,I-157
1066,3.0,2017-2018,19570615-0011,240.0,I-158
1066,3.0,2017-2018,19750906-0032,140.0,I-158
1021,4.0,2017-2018,19580218-0007,260.0,I-159
1021,4.0,2017-2018,19790618-0048,140.0,I-159
1021,4.0,2017-2018,19931203-0066,120.0,I-159
1276,2.0,2018-2019,19570615-0011,240.0,I-160
1276,2.0,2018-2019,19750122-0056,140.0,I-160
1129,3.0,2018-2019,19570826-0012,280.0,I-161
1129,3.0,2018-2019,19760524-0046,100.0,I-161
1129,3.0,2018-2019,19900701-0138,140.0,I-161
1117,1.0,2018-2019,19640414-0013,240.0,I-162
1117,1.0,2018-2019,19750906-0032,140.0,I-162
1116,1.0,2018-2019,19561222-0030,280.0,I-163
1116,1.0,2018-2019,19781217-0053,100.0,I-163
1048,1.0,2018-2019,19600814-0002,280.0,I-164
1048,1.0,2018-2019,19750102-0059,100.0,I-164
1248,3.0,2018-2019,19650303-0019,240.0,I-165
1248,3.0,2018-2019,19750705-0033,120.0,I-165
1248,3.0,2018-2019,19900317-0083,120.0,I-165
1235,1.0,2018-2019,19610918-0027,240.0,I-166
1235,1.0,2018-2019,19751018-0039,120.0,I-166
1204,2.0,2018-2019,19580515-0017,260.0,I-167
1204,2.0,2018-2019,19770713-0042,140.0,I-167
1204,2.0,2018-2019,19920602-0073,100.0,I-167
1153,2.0,2018-2019,19570828-0008,280.0,I-168
1153,2.0,2018-2019,19750722-0060,120.0,I-168
1076,2.0,2018-2019,19640414-0013,260.0,I-169
1076,2.0,2018-2019,19771013-0040,100.0,I-169
1108,1.0,2019-2020,19610918-0027,280.0,I-170
1108,1.0,2019-2020,19780317-0052,120.0,I-170
1108,1.0,2019-2020,19910206-0081,120.0,I-170
1077,1.0,2019-2020,19690917-0022,280.0,I-171
1077,1.0,2019-2020,19771013-0040,120.0,I-171
1077,1.0,2019-2020,19900616-0124,140.0,I-171
1024,4.0,2019-2020,19580218-0007,280.0,I-172
1024,4.0,2019-2020,19780602-0035,120.0,I-172
1024,4.0,2019-2020,19900430-0112,100.0,I-172
1014,4.0,2019-2020,19680712-0028,280.0,I-173
1014,4.0,2019-2020,19781125-0031,140.0,I-173
1234,2.0,2019-2020,19620831-0024,260.0,I-174
1234,2.0,2019-2020,19790426-0049,120.0,I-174
1234,2.0,2019-2020,19921002-0129,120.0,I-174
1224,1.0,2019-2020,19611219-0014,280.0,I-175
1224,1.0,2019-2020,19750512-0043,100.0,I-175
1224,1.0,2019-2020,19900723-0126,120.0,I-175
1202,4.0,2019-2020,19580515-0017,260.0,I-176
1202,4.0,2019-2020,19781217-0053,140.0,I-176
1200,4.0,2019-2020,19660630-0020,260.0,I-177
1200,4.0,2019-2020,19760108-0050,140.0,I-177
1025,4.0,2019-2020,19570826-0012,280.0,I-178
1025,4.0,2019-2020,19750705-0033,120.0,I-178
1048,2.0,2020-2021,19630126-0001,260.0,I-179
1048,2.0,2020-2021,19790618-0048,100.0,I-179
1048,2.0,2020-2021,19921208-0097,140.0,I-179
1196,1.0,2020-2021,19690513-0015,240.0,I-180
1196,1.0,2020-2021,19750512-0043,120.0,I-180
1196,1.0,2020-2021,19920226-0075,100.0,I-180
1194,2.0,2020-2021,19580515-0017,280.0,I-181
1194,2.0,2020-2021,19750122-0056,100.0,I-181
1194,2.0,2020-2021,19920505-0115,120.0,I-181
1107,1.0,2020-2021,19640220-0029,240.0,I-182
1107,1.0,2020-2021,19761009-0055,100.0,I-182
1107,1.0,2020-2021,19921002-0129,100.0,I-182
1096,2.0,2020-2021,19570615-0011,240.0,I-183
1096,2.0,2020-2021,19780424-0057,100.0,I-183
1258,1.0,2020-2021,19660630-0020,280.0,I-184
1258,1.0,2020-2021,19790708-0041,120.0,I-184
1258,1.0,2020-2021,19910101-0133,100.0,I-184
1182,2.0,2020-2021,19690513-0015,240.0,I-185
1182,2.0,2020-2021,19750417-0051,140.0,I-185
1158,4.0,2020-2021,19610918-0027,280.0,I-186
1158,4.0,2020-2021,19781125-0031,100.0,I-186
1130,4.0,2020-2021,19560705-0025,280.0,I-187
1130,4.0,2020-2021,19750220-0037,100.0,I-187
1130,4.0,2020-2021,19931118-0062,120.0,I-187
1064,2.0,2020-2021,19690917-0022,240.0,I-188
1064,2.0,2020-2021,19780602-0035,120.0,I-188
1064,2.0,2020-2021,19900619-0076,100.0,I-188
1142,4.0,2021-2022,19600905-0003,240.0,I-189
1142,4.0,2021-2022,19750122-0056,140.0,I-189
1142,4.0,2021-2022,19910327-0096,140.0,I-189
1287,2.0,2021-2022,19610623-0005,280.0,I-190
1287,2.0,2021-2022,19760524-0046,140.0,I-190
1287,2.0,2021-2022,19900902-0114,140.0,I-190
1206,2.0,2021-2022,19690917-0022,240.0,I-191
1206,2.0,2021-2022,19780317-0052,120.0,I-191
1236,1.0,2021-2022,19560705-0025,260.0,I-192
1236,1.0,2021-2022,19750122-0056,120.0,I-192
1236,1.0,2021-2022,19920206-0072,120.0,I-192
1178,3.0,2021-2022,19600905-0003,280.0,I-193
1178,3.0,2021-2022,19761020-0044,100.0,I-193
1029,3.0,2021-2022,19601021-0018,280.0,I-194
1029,3.0,2021-2022,19790426-0049,100.0,I-194
1029,3.0,2021-2022,19900128-0095,100.0,I-194
1024,2.0,2021-2022,19620424-0026,280.0,I-195
1024,2.0,2021-2022,19790717-0045,120.0,I-195
1007,2.0,2021-2022,19580218-0007,280.0,I-196
1007,2.0,2021-2022,19780815-0047,120.0,I-196
1007,2.0,2021-2022,19930829-0082,120.0,I-196
1286,4.0,2022-2023,19590129-0004,280.0,I-197
1286,4.0,2022-2023,19750331-0036,100.0,I-197
1187,4.0,2022-2023,19610623-0005,260.0,I-198
1187,4.0,2022-2023,19750220-0037,100.0,I-198
1187,4.0,2022-2023,19930829-0082,140.0,I-198
1222,4.0,2022-2023,19560612-0010,280.0,I-199
